players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
21,29.7,6,540,90,100,6,66,,,18,0,24,0.33,2,17,-15,-2.5,3.9,16.5,-12.7,-2.11,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,26.1,6,540,90,100,6,66,,,18,0,24,0.5,2,17,-15,-2.5,5.4,14.2,-8.8,-1.47,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,27.0,6,540,90,100,6,66,,,17,0,25,1.17,5,4,1,0.17,11.3,6.9,4.4,0.74,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,27.8,10,900,90,100,10,110,,,28,0,42,2.1,17,6,11,1.1,13.7,8.9,4.8,0.48,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,25.4,8,720,90,100,8,88,,,19,0,37,1.88,13,10,3,0.37,10.4,10.7,-0.3,-0.04,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,27.5,12,1080,90,100,12,132,,,35,0,48,2.17,26,12,14,1.17,27.4,14.2,13.2,1.1,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,26.8,6,540,90,100,6,66,,,18,0,24,0.0,1,14,-13,-2.17,6.2,10.4,-4.2,-0.69,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,30.2,8,720,90,100,8,88,,,24,0,32,1.75,12,13,-1,-0.12,8.6,15.1,-6.5,-0.81,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,28.1,6,540,90,100,6,66,,,18,0,23,1.5,8,10,-2,-0.33,5.7,12.9,-7.2,-1.2,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,26.1,6,540,90,100,6,66,,,17,0,25,0.5,5,18,-13,-2.17,4.7,10.5,-5.7,-0.96,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,26.9,8,720,90,100,8,88,,,23,0,33,1.5,17,12,5,0.62,15.5,7.7,7.8,0.97,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,26.2,6,540,90,100,6,66,,,17,0,24,0.33,7,13,-6,-1.0,9.6,9.8,-0.2,-0.04,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,25.1,6,540,90,100,6,66,,,16,0,25,0.5,5,14,-9,-1.5,5.4,8.6,-3.3,-0.54,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,29.5,10,900,90,100,10,110,,,29,0,41,1.8,14,12,2,0.2,16.9,13.6,3.3,0.33,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,25.6,13,1170,90,100,13,143,,,37,0,54,1.92,41,16,25,1.92,33.0,13.2,19.7,1.52,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,25.9,10,900,90,100,10,110,,,25,0,45,1.8,20,12,8,0.8,15.7,11.0,4.6,0.46,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,26.5,8,720,90,100,8,88,,,24,0,32,2.0,13,5,8,1.0,18.0,8.2,9.8,1.23,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,26.0,6,540,90,100,6,66,,,17,0,25,0.33,6,16,-10,-1.67,5.9,9.7,-3.8,-0.63,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,28.5,6,540,90,100,6,66,,,17,0,25,0.5,3,16,-13,-2.17,4.1,16.1,-12.0,-1.99,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,27.9,6,540,90,100,6,66,,,17,0,25,1.0,11,11,0,0.0,10.1,8.2,1.8,0.31,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,26.9,6,540,90,100,6,66,,,18,0,24,0.17,4,13,-9,-1.5,3.4,13.8,-10.3,-1.72,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,26.2,8,720,90,100,8,88,,,21,0,35,1.88,27,9,18,2.25,17.2,9.5,7.7,0.96,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,26.6,8,720,90,100,8,88,,,23,0,33,1.38,15,15,0,0.0,10.9,11.2,-0.3,-0.04,/en/squads/5e876ee6/2017-2018/Porto-Stats
20,28.4,6,540,90,100,6,66,,,18,0,24,0.33,2,14,-12,-2.0,2.4,14.8,-12.4,-2.06,/en/squads/44b65410/2017-2018/Qarabag-Stats
19,23.9,6,540,90,100,6,66,,,17,0,25,1.17,10,11,-1,-0.17,9.6,7.7,2.0,0.33,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
23,27.8,13,1170,90,100,13,143,,,38,0,53,2.23,33,16,17,1.31,33.0,20.0,13.1,1.01,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
20,28.0,12,1080,90,100,12,132,,,33,0,51,1.67,21,19,2,0.17,19.1,18.2,0.9,0.07,/en/squads/cf74a709/2017-2018/Roma-Stats
22,27.2,10,900,90,100,10,110,,,28,0,42,1.4,15,15,0,0.0,16.1,13.9,2.2,0.22,/en/squads/ad2be733/2017-2018/Sevilla-Stats
20,27.6,8,720,90,100,8,88,,,20,0,36,1.88,11,11,0,0.0,9.9,13.7,-3.8,-0.48,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
20,27.9,6,540,90,100,6,66,,,17,0,25,1.0,9,13,-4,-0.67,6.8,11.4,-4.6,-0.77,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
21,26.6,6,540,90,100,6,66,,,18,0,24,1.17,8,9,-1,-0.17,7.3,7.1,0.2,0.04,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
26,25.6,8,720,90,100,8,88,,,21,0,35,2.13,18,8,10,1.25,13.1,12.6,0.5,0.06,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
